Observation.method,Date,Site,Block ,Plot,Weather,Time,transect.number,transect.meter,dist.transect(m),dist.ground (m),substrate.type,species,letter,Unique_ID,Stage,Sex,length(cm),weight(g),sun.availability,behavior,ticks.collected,ticks.not.collected,total.ticks,note,,
captured,20-Apr-18,Arid,2,Partial ,sunny,13:30,5,50,10,0.2,fallen.log,Uta.stansburia,,1,adult,,6,,full.sun,basking,7,0,7,,,
captured,20-Apr-18,Arid,2,Partial ,sunny,14:12,5,24,5,0.75,rock,Scoloporus.occidentalis,,2,adult,male,8,,full.sun,running,2,2,4,,,
captured,22-Apr-18,Arid,2,Total,sunny,15:05,1,,,2.5,oak,Scoloporus.occidentalis,,3,adult,male,9.5,19.4,partial.shade,running,0,0,0,used electric scale,,
captured,22-Apr-18,Arid,2,Total,sunny,15:05,1,50,15,0.5,fallen.log,Scoloporus.occidentalis,,4,adult,female,8,10.4,full.sun,basking,0,0,0,used electric scale,,
captured,23-Apr-18,Arid,3,Total,sunny,8:51,,,,0.02,fallen.log,Scoloporus.occidentalis,,5,adult,male,8,11.2,full.sun,basking,0,0,0,,,
captured,23-Apr-18,Arid,3,Total,sunny,9:20,,,,1.5,oak,Scoloporus.occidentalis,,6,adult,male,7,,partial.shade,running,0,0,0,,,
captured,23-Apr-18,Arid,3,Total,sunny,9:48,,,,1.75,oak,Scoloporus.occidentalis,,7,adult,male,8.5,15.8,full.sun,basking,0,0,0,,,
captured,23-Apr-18,Arid,3,Total,sunny,10:25,,,,0.75,dead.oak,Scoloporus.occidentalis,,8,adult,female,7.1,9.8,full.sun,basking,0,0,0,,,
captured,23-Apr-18,Arid,3,Total,sunny,13:15,1,35,5,1.25,dead.oak,Scoloporus.occidentalis,,9,adult,male,9.5,18.7,full.sun,interacting,0,0,0,uphill of oak 3355,,
captured,23-Apr-18,Arid,3,Total,sunny,13:30,1,35,5,1.25,dead.oak,Scoloporus.occidentalis,,10,adult,male,9.8,17.3,full.sun,interacting,0,0,0,uphill of oak 3355,,
captured,24-Apr-18,Arid,2,Total,sunny,9:50,3,50,2,1,oak,Scoloporus.occidentalis,,11,adult,female,7.6,14.5,partial.sun,resting,0,0,0,,,
captured,24-Apr-18,Arid,2,Total,sunny,10:30,6,25,5,1.3,oak,Scoloporus.occidentalis,,12,adult,female,8.2,12.5,partial.sun,running,0,0,0,,,
captured,24-Apr-18,Arid,2,Total,sunny,11:00,6,50,1,,oak,Scoloporus.occidentalis,,13,adult,male,9,18,full.sun,basking,0,0,0,,,
captured,24-Apr-18,Arid,2,Total,sunny,11:30,3,16,0,1.5,oak,Scoloporus.occidentalis,,14,adult,male,8,12,full.sun,basking,0,0,0,,,
captured,24-Apr-18,Arid,3,Partial ,overcast to sunny,14:15,3,0,0,2.5,oak,Scoloporus.occidentalis,,15,adult,female,9.2,18,shade,resting,0,0,0,,,
captured,24-Apr-18,Arid,3,Partial ,overcast to sunny,15:15,1,7,2,1,oak,Scoloporus.occidentalis,,16,adult,male,9,20,partial.shade,push.ups,0,0,0,,,
captured,25-Apr-18,Arid,1,Partial ,sunny,9:56,1,25,9,0.3,fallen.log,Scoloporus.occidentalis,,17,adult,male,10.1,17,full.sun,basking,0,0,0,,,
captured,25-Apr-18,Arid,1,Total,sunny,12:15,1,20,5,0.5,oak,Scoloporus.occidentalis,,18,adult,male,10,16,full.sun,push.ups,1,1,2,,,
captured,25-Apr-18,Arid,1,Total,sunny,12:56,2,18,7,1,standing.log,Scoloporus.occidentalis,,19,adult,male,8.5,11,full.sun,basking,0,0,0,downhill of oak 3969,,
captured,25-Apr-18,Arid,1,Total,sunny,13:45,1,19,6,1.7,oak,Scoloporus.occidentalis,,20,juvenille,,6.1,3,partial.shade,basking,0,0,0,,,
captured,25-Apr-18,Arid,1,Total,sunny,15:10,1,40,7,1,rock,Scoloporus.occidentalis,,21,adult,female,9,16,full.sun,basking,0,0,0,uphill of oak 3977,,
captured,26-Apr-18,Arid,1,Total,sunny,8:20,,,,1.7,oak,Scoloporus.occidentalis,,22,adult,male,8.3,15.5,full.sun,basking,0,0,0,not on transect,,
captured,26-Apr-18,Arid,1,Total,sunny,9:00,4,50,6,0.4,rock,Scoloporus.occidentalis,,23,adult,male,10.1,20,full.sun,basking,0,2,2,ran to oak 3521,,
captured,26-Apr-18,Arid,1,Total,sunny,10:20,4,-5,0,0.3,rock,Scoloporus.occidentalis,,24,adult,female,8.5,,full.sun,basking,0,0,0,not on transect,,
captured,26-Apr-18,Arid,2,Partial ,sunny,14:41,6,30,5,1.25,oak,Scoloporus.occidentalis,,25,,male,9.5,20,full.sun,interacting,1,0,1,,,
captured,26-Apr-18,Arid,2,Partial ,sunny,14:50,6,30,5,0.75,oak,Scoloporus.occidentalis,,26,,female,10,19.5,full.sun,interacting,0,0,0,,,
captured,11-May-18,Intermediate,2,Partial ,sunny,9:02,2,50,5,1.1,fallen.log,Scoloporus.occidentalis,A,27,adult,male,9,17,full.sun,basking,4,0,1,large fallen oak,,
captured,11-May-18,Intermediate,2,Partial ,sunny,9:21,2,50,5,0.3,fallen.log,Scoloporus.occidentalis,B,28,adult,male,10.5,20,full.sun,basking,3,0,1,large fallen oak,,
captured,11-May-18,Intermediate,2,Partial ,sunny,9:36,2,50,5,0.2,fallen.log,Scoloporus.occidentalis,C,29,adult,female,9.75,13,full.sun,basking,2,0,2,large fallen oak,,
captured,11-May-18,Intermediate,2,Partial ,sunny,9:59,2,50,5,0.1,fallen.log,Scoloporus.occidentalis,D,30,adult,female,8,15,shade,hiding,5,0,5,large fallen oak,,
captured,11-May-18,Intermediate,2,Partial ,sunny,10:17,2,50,5,0.4,fallen.log,Scoloporus.occidentalis,E,31,adult,male,9,19,full.sun,basking,7,0,7,large fallen oak,,
captured,11-May-18,Intermediate,2,Partial ,sunny,11:25,1,80,10,1,fallen.log,Scoloporus.occidentalis,F,32,adult,male,8.5,16.5,full.sun,basking,0,0,0,not on transect,,
captured,11-May-18,Intermediate,2,Partial ,sunny,11:45,1,80,10,1.5,fallen.log,Scoloporus.occidentalis,G,33,adult,female,8.5,15,full.sun,basking,0,0,0,not on transect,,
