Year,Season,Month,Level,Block,Treatment_Year,Plot,Survey_Day,blue,blue_red,red,none,,,day,blue,blue_red,red,none,
2016,summer,July,Arid,1,0,Open,1,8,,,,,,1,8,,,,
2016,summer,July,Arid,1,0,Open,2,,3,9,,,,2,,3,9,,
2016,summer,July,Arid,1,0,Open,3,2,3,5,4,,,3,2,3,5,4,
2016,summer,July,Arid,1,0,Total,1,12,,,,,,,,,,,
2016,summer,July,Arid,1,0,Total,2,,6,8,,,,,day 1,day 2,day 3,,
2016,summer,July,Arid,1,0,Total,3,5,2,5,8,,,,1,1,1,,
2016,summer,July,Arid,1,0,Partial,1,4,,,,,,,1,1,1,,
2016,summer,July,Arid,1,0,Partial,2,,2,11,,,,,1,1,1,,
2016,summer,July,Arid,1,0,Partial,3,2,1,6,2,,,,1,0,1,,
2016,summer,July,Arid,2,0,Open,1,6,,,,,,,1,0,1,,
2016,summer,July,Arid,2,0,Open,2,,2,4,,,,,1,0,0,,
2016,summer,July,Arid,2,0,Open,3,2,0,2,3,,,,1,0,0,,
2016,summer,July,Arid,2,0,Total,1,23,,,,,,,1,0,0,,
2016,summer,July,Arid,2,0,Total,2,,20,1,,,,,0,1,1,,
2016,summer,July,Arid,2,0,Total,3,9,10,0,2,,,,0,1,1,,
2016,summer,July,Arid,2,0,Partial,1,7,,,,,,,0,1,1,,
2016,summer,July,Arid,2,0,Partial,2,,5,16,,,,,0,1,1,,
2016,summer,July,Arid,2,0,Partial,3,4,3,11,0,,,,0,1,1,,
2016,summer,July,Arid,3,0,Open,1,14,,,,,,,0,1,0,,
2016,summer,July,Arid,3,0,Open,2,,9,2,,,,,0,1,0,,
2016,summer,July,Arid,3,0,Open,3,6,5,2,1,,,,0,1,0,,
2016,summer,July,Arid,3,0,Total,1,15,,,,,,,0,1,0,,
2016,summer,July,Arid,3,0,Total,2,,6,4,,,,,0,0,1,,
2016,summer,July,Arid,3,0,Total,3,8,3,3,7,,,,0,0,1,,
2016,summer,July,Arid,3,0,Partial,1,6,,,,,,,0,0,1,,
